Date,Latitude,Longitude,Altitude,Speed,Course,Vertical accuracy, horizontal accuracy
25/08/2018 14:05:25,47.6626968172356,8.70419984960721,364.560457879414,0.00643609138205647,274.330176692494,4.19875383377075,16.0
25/08/2018 14:05:33,47.6626968172356,8.70419984960721,364.560457879414,0.00643609138205647,274.330176692494,4.19875383377075,16.0
25/08/2018 14:05:41,47.6626968359055,8.70419948462005,364.560455322266,-1.0,-1.0,11.1364545822144,65.0
25/08/2018 14:05:41,47.6626968359055,8.70419948462005,364.560455322266,-1.0,-1.0,11.1364545822144,65.0
25/08/2018 14:05:41,47.6633016343435,8.70412830441614,399.185272216797,-1.0,-1.0,10.0,65.0
25/08/2018 14:05:44,47.6633178071405,8.70411961748684,413.094424923769,3.78041434288025,-1.0,104.649116516113,12.0
25/08/2018 14:05:45,47.663350822931,8.70410323869718,367.533737945557,4.37155628204346,-1.0,3.0,48.0
25/08/2018 14:05:46,47.6633664678985,8.70408804278276,367.475647735596,3.78041434288025,-1.0,3.0,48.0
25/08/2018 14:05:47,47.6633750839018,8.70407601069228,367.421732330322,2.35652995109558,-1.0,3.0,32.0
25/08/2018 14:05:48,47.663369837112,8.70404282795722,367.379077911377,2.54340171813965,-1.0,3.0,24.0
25/08/2018 14:05:49,47.6633744821844,8.70400367260509,367.261386871338,3.43821382522583,-1.0,3.0,24.0
25/08/2018 14:05:50,47.6633603124852,8.70393138473956,367.122519683838,3.43821382522583,-1.0,3.0,24.0
25/08/2018 14:05:51,47.6632654204806,8.70374819741223,419.053892499931,3.94057655334473,-1.0,57.3900337219238,24.0
25/08/2018 14:05:52,47.6632685793375,8.70367149448504,408.229854888916,4.83659601211548,247.980918799229,3.0,16.0
25/08/2018 14:05:53,47.6632461010556,8.70358356554343,412.340588409424,6.33987522125244,251.6983175569,3.0,16.0
25/08/2018 14:05:54,47.663214683858,8.70349302728118,412.782341082764,7.34102201461792,247.102201302128,3.0,16.0
25/08/2018 14:05:55,47.6631889492863,8.70338229537631,412.974721916504,7.34102201461792,246.540213337219,3.0,12.0
25/08/2018 14:05:56,47.663151415328,8.70329750284588,413.236895180542,7.4581298828125,244.961811261543,3.0,12.0
25/08/2018 14:05:57,47.6631267974335,8.70322461000668,413.530327472766,7.60749626159668,235.336107626514,3.0,12.0
25/08/2018 14:05:58,47.6630763278002,8.70313447478217,413.702026048668,8.2476921081543,228.083963029956,3.0,12.0
25/08/2018 14:05:59,47.6630073948699,8.70304332186124,413.85204807911,8.49416542053223,224.542851454763,3.0,12.0
25/08/2018 14:06:00,47.6629393637121,8.702967320032,413.931375233326,8.42157077789307,223.016194892238,3.0,12.0
25/08/2018 14:06:01,47.662881771711,8.70289678834188,414.208857509294,8.42157077789307,222.085759202743,3.0,12.0
25/08/2018 14:06:02,47.6628481489181,8.70283501985833,414.486764428298,7.58562278747559,229.404061011601,3.0,8.0
25/08/2018 14:06:03,47.6628183748389,8.70279328064587,414.73362250301,3.57407236099243,249.195271792143,3.0,8.0
25/08/2018 14:06:04,47.6628081998901,8.70274829855876,414.906349081966,3.57407236099243,269.685675377642,3.0,8.0
25/08/2018 14:06:05,47.6628127262905,8.70272307441292,415.071717442987,2.28143453598022,264.891428995426,3.0,8.0
25/08/2018 14:06:06,47.6628226791971,8.7026992158046,415.130359381628,2.28143453598022,313.778180130712,3.0,8.0
25/08/2018 14:06:07,47.6628412356778,8.70266783670914,415.179235050101,2.73534655570984,315.571432636921,3.0,8.0
25/08/2018 14:06:08,47.6628666616474,8.70262738825356,415.232984311284,4.82234621047974,313.01172362281,3.0,8.0
25/08/2018 14:06:09,47.6628982750356,8.70257946060029,415.290489364356,5.45704126358032,313.13335563155,3.0,8.0
25/08/2018 14:06:10,47.6629360827647,8.70251509709975,415.341338746616,5.45704126358032,318.173625427669,3.0,8.0
25/08/2018 14:06:11,47.662994644503,8.70243547485837,415.37520786453,6.72619867324829,329.4984888829,3.0,8.0
25/08/2018 14:06:12,47.6630719321233,8.70235619792003,415.394222828079,9.79513931274414,328.526880813088,3.0,8.0
25/08/2018 14:06:13,47.663159160195,8.70227206716302,415.449188289278,11.90771484375,328.207801695821,3.0,8.0
25/08/2018 14:06:14,47.6632504030727,8.70218711315731,415.599869161569,12.23521900177,328.049778439184,3.0,8.0
25/08/2018 14:06:15,47.6633480414687,8.702102832249,415.785911980244,12.23521900177,328.367163669536,3.0,8.0
25/08/2018 14:06:16,47.6634447569609,8.70201439876113,415.8861721459,12.3499155044556,328.842271628202,3.0,8.0
25/08/2018 14:06:17,47.6635464084238,8.70193425282713,415.920999798208,12.5805330276489,328.93191103087,3.0,8.0
25/08/2018 14:06:18,47.6636440549002,8.7018491065075,415.980485371056,12.1565446853638,328.935735936805,3.0,8.0
25/08/2018 14:06:19,47.663743917705,8.70176716092463,415.989455168575,12.1565446853638,329.363606307171,3.0,8.0
25/08/2018 14:06:20,47.66385567179,8.7016772898431,415.957063574109,12.1565446853638,328.744763847611,3.0,8.0
25/08/2018 14:06:21,47.6639723391215,8.70158613923787,415.984558667592,14.1160459518433,329.087775947729,3.0,8.0
25/08/2018 14:06:22,47.6640921567719,8.70149550499061,415.907849558776,14.6002130508423,329.111572326798,3.0,8.0
25/08/2018 14:06:23,47.6642151816798,8.70139339961077,415.690998960394,15.7087602615356,328.692881730676,3.0,8.0
25/08/2018 14:06:24,47.6643381104516,8.70127947276139,415.438381283368,16.1622505187988,328.365087292028,3.0,8.0
25/08/2018 14:06:25,47.6644608875702,8.70115167167341,415.415673836955,16.0965900421143,328.307276570894,3.0,8.0
